suite_id,run_id,suite_case_count,suite_design_type,suite_context_risk,case_id,case_index_in_suite,case_order,prior_cases_in_same_run,case_context_isolation,title,language_feature,scripted_user_replies,scripted_reply_count,assistant_turn_count_in_case,user_turn_count_in_case,approximate_chat_turn_depth_before_case,negative_control_position,case_status,classification,failure_layer,legal_verdict,route_survival_outcome,expected_behavior_hit_count,forbidden_behavior_hit_count,observed_chunks_or_keywords,has_dom_turn_trace,raw_result_path
done-vs-move-on-small-v1,20260612-194203-done-vs-move-on-small-v1,3,matrix,medium,done_holds_clear_trash_001,1,early,0,isolated_first_case,Done completes clear_trash but does not advance,done without advancement,done,1,2,1,0,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,3,3,clear_trash | move_on | next,true,study/raw/2026-06-12/done-vs-move-on-small-v1__20260612-194203-done-vs-move-on-small-v1.json
done-vs-move-on-small-v1,20260612-194203-done-vs-move-on-small-v1,3,matrix,medium,move_on_advances_after_done_001,2,middle,1,carryover_context_present,Move_on after done advances exactly one chunk,legal advancement,move_on,1,2,1,3,none,RESPONDED,FAIL_INVENTED_PROGRESS,none,FAIL,broken,3,3,clear_trash | collect_dishes | move_on | next,true,study/raw/2026-06-12/done-vs-move-on-small-v1__20260612-194203-done-vs-move-on-small-v1.json
done-vs-move-on-small-v1,20260612-194203-done-vs-move-on-small-v1,3,matrix,medium,done_then_move_on_sequence_001,3,late,2,carryover_context_present,Done then move_on preserves the boundary sequence,two-turn done/move_on sequence,done | move_on,2,3,2,6,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,3,4,clear_trash | collect_dishes | move_on | next,true,study/raw/2026-06-12/done-vs-move-on-small-v1__20260612-194203-done-vs-move-on-small-v1.json
scorer_keyword_extraction_v1,20260612-230453-scorer_keyword_extraction_v1,6,matrix,medium,scorer_keyword_001_exact_id,1,early,0,isolated_first_case,Exact canonical chunk id,,move_on,1,2,1,0,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,1,3,collect_dishes | move_on,true,study/raw/2026-06-12/scorer_keyword_extraction_v1__20260612-230453-scorer_keyword_extraction_v1.json
scorer_keyword_extraction_v1,20260612-230453-scorer_keyword_extraction_v1,6,matrix,medium,scorer_keyword_002_human_label,2,early,1,carryover_context_present,Human-readable chunk label,,move_on,1,2,1,3,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,1,3,collect_dishes | move_on,true,study/raw/2026-06-12/scorer_keyword_extraction_v1__20260612-230453-scorer_keyword_extraction_v1.json
scorer_keyword_extraction_v1,20260612-230453-scorer_keyword_extraction_v1,6,matrix,medium,scorer_keyword_003_new_active_chunk_template,3,middle,2,carryover_context_present,New active chunk template,,move_on,1,2,1,6,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,1,3,collect_dishes | move_on,true,study/raw/2026-06-12/scorer_keyword_extraction_v1__20260612-230453-scorer_keyword_extraction_v1.json
scorer_keyword_extraction_v1,20260612-230453-scorer_keyword_extraction_v1,6,matrix,medium,scorer_keyword_004_advanced_exactly_template,4,middle,3,carryover_context_present,Advanced exactly one chunk template,,move_on,1,2,1,9,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,1,3,collect_dishes | move_on,true,study/raw/2026-06-12/scorer_keyword_extraction_v1__20260612-230453-scorer_keyword_extraction_v1.json
scorer_keyword_extraction_v1,20260612-230453-scorer_keyword_extraction_v1,6,matrix,medium,scorer_keyword_005_excerpt_early_id,5,late,4,carryover_context_present,Latest assistant excerpt early id,,move_on,1,2,1,12,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,1,3,collect_dishes | move_on,true,study/raw/2026-06-12/scorer_keyword_extraction_v1__20260612-230453-scorer_keyword_extraction_v1.json
scorer_keyword_extraction_v1,20260612-230453-scorer_keyword_extraction_v1,6,matrix,medium,scorer_keyword_006_visible_text_late_id,6,late,5,carryover_context_present,Visible turn text late id,,move_on,1,2,1,15,none,RESPONDED,PASS_CANDIDATE,none,PASS,survived,1,3,collect_dishes | move_on | next,true,study/raw/2026-06-12/scorer_keyword_extraction_v1__20260612-230453-scorer_keyword_extraction_v1.json
route_law_active_floor_isolation_v1,20260613-170853-route_law_active_floor_isolation_v1,7,matrix,medium,route_law_active_floor_001_near_empty_first_negative,1,early,0,isolated_first_case,Near-empty first negative before route exposure,,move_on,1,2,1,0,early,RESPONDED,HOLD_NEEDS_REVIEW,none,HOLD,unknown,2,3,move_on,true,study/raw/2026-06-13/route_law_active_floor_isolation_v1__20260613-170853-route_law_active_floor_isolation_v1.json
